t_s,sinal_filtrado,janela,classificacao,class_bin
40.266,-0.0003383806902614,217,1,1
40.268,-0.0003328585036611,217,1,1
40.27,-0.0003269090584324,217,1,1
40.272,-0.000320641922365,217,1,1
40.274,-0.0003141642793186,217,1,1
40.276,-0.0003075767246757,217,1,1
40.278,-0.0003009695633686,217,1,1
40.28,-0.0002944196834863,217,1,1
40.282,-0.0002879880406759,217,1,1
40.284,-0.0002817177257033,217,1,1
40.286,-0.0002756325002992,217,1,1
40.288,-0.0002697356737741,217,1,1
40.29,-0.0002640093103713,217,1,1
40.292,-0.0002584139439036,217,1,1
40.294,-0.0002528891112863,217,1,1
40.296,-0.0002473550080932,217,1,1
40.298,-0.0002417154135646,217,1,1
40.3,-0.0002358618168056,217,1,1
40.302,-0.0002296785194916,217,1,1
40.304,-0.0002230484548187,217,1,1
40.306,-0.0002158594954617,217,1,1
40.308,-0.0002080110254021,217,1,1
40.31,-0.0001994204969595,217,1,1
40.312,-0.0001900296254421,217,1,1
40.314,-0.0001798098093043,217,1,1
40.316,-0.000168766320948,217,1,1
40.318,-0.0001569408441814,217,1,1
40.32,-0.000144412065396,217,1,1
40.322,-0.0001312942209889,217,1,1
40.324,-0.0001177337122184,217,1,1
40.326,-0.0001039040787684,217,1,1
40.328,-8.9999726228826e-05,217,1,1
40.33,-7.622880260467944e-05,217,1,1
40.332,-6.280554822674452e-05,217,1,1
