t_s,sinal_filtrado,janela,classificacao,class_bin
22.666,-2.7509125318519115e-05,200,0,0
22.668,-2.761130358473679e-05,200,0,0
22.67,-2.759472904230575e-05,200,0,0
22.672,-2.7476494683747195e-05,200,0,0
22.674,-2.727270840656084e-05,200,0,0
22.676,-2.699664324696896e-05,200,0,0
22.678,-2.665726566452348e-05,200,0,0
22.68,-2.6258302642982752e-05,200,0,0
22.682,-2.5797940636121288e-05,200,0,0
22.684,-2.526916802586708e-05,200,0,0
22.686,-2.4660691221762216e-05,200,0,0
22.688,-2.395828659980977e-05,200,0,0
22.69,-2.3146417411601e-05,200,0,0
22.692,-2.2209954937474765e-05,200,0,0
22.694,-2.1135880273396856e-05,200,0,0
22.696,-1.9914884436123527e-05,200,0,0
22.698,-1.8542817359543583e-05,200,0,0
22.7,-1.7021954676883555e-05,200,0,0
22.702,-1.5362046318282854e-05,200,0,0
22.704,-1.3581080086669864e-05,200,0,0
22.706,-1.1705656639599329e-05,200,0,0
22.708,-9.770862781695512e-06,200,0,0
22.71,-7.81956058526472e-06,200,0,0
22.712,-5.901065093721002e-06,200,0,0
22.714,-4.069243054752322e-06,200,0,0
22.716,-2.380122675386473e-06,200,0,0
22.718,-8.891628060241324e-07,200,0,0
22.72,3.516135669499658e-07,200,0,0
22.722,1.2963803873720445e-06,200,0,0
22.724,1.907928812767449e-06,200,0,0
22.726,2.1595621207101315e-06,200,0,0
22.728,2.0363585713272968e-06,200,0,0
22.73,1.5357799384539225e-06,200,0,0
22.732,6.676771006839624e-07,200,0,0
22.734,-5.462120097164802e-07,200,0,0
22.736,-2.0731728607696884e-06,200,0,0
22.738,-3.870752077156858e-06,200,0,0
22.74,-5.888251305385076e-06,200,0,0
22.742,-8.068404450237907e-06,200,0,0
22.744,-1.0349175006344969e-05,200,0,0
22.746,-1.2665635733980853e-05,200,0,0
22.748,-1.4951907399888956e-05,200,0,0
22.75,-1.71431133983271e-05,200,0,0
22.752,-1.9177266637919805e-05,200,0,0
22.754,-2.0996980673882097e-05,200,0,0
22.756,-2.2550908686171544e-05,200,0,0
22.758,-2.379485289802501e-05,200,0,0
22.76,-2.469253469864604e-05,200,0,0
22.762,-2.5216058877364268e-05,200,0,0
22.764,-2.5346137200921977e-05,200,0,0
22.766,-2.5072150913996343e-05,200,0,0
22.768,-2.439211883726692e-05,200,0,0
22.77,-2.331259458541636e-05,200,0,0
22.772,-2.1848464035128985e-05,200,0,0
22.774,-2.002258671090256e-05,200,0,0
22.776,-1.7865235417789225e-05,200,0,0
22.778,-1.54133210757853e-05,200,0,0
22.78,-1.2709423760255752e-05,200,0,0
22.782,-9.800679525971992e-06,200,0,0
22.784,-6.737594691958526e-06,200,0,0
22.786,-3.5728665898144497e-06,200,0,0
22.788,-3.602739965414548e-07,200,0,0
22.79,2.846330479176652e-06,200,0,0
22.792,5.99392520973588e-06,200,0,0
22.794,9.031149354565308e-06,200,0,0
22.796,1.1909107543096031e-05,200,0,0
22.798,1.458219776106648e-05,200,0,0
22.8,1.70089748389999e-05,200,0,0
22.802,1.9153006868138383e-05,200,0,0
22.804,2.098364344993809e-05,200,0,0
22.806,2.2476626374416e-05,200,0,0
22.808,2.361453276804241e-05,200,0,0
22.81,2.438709958301785e-05,200,0,0
22.812,2.4791484511102155e-05,200,0,0
22.814,2.483246665717829e-05,200,0,0
22.816,2.452252088029969e-05,200,0,0
22.818,2.38816575954962e-05,200,0,0
22.82,2.293692556824872e-05,200,0,0
22.822,2.17215259765684e-05,200,0,0
22.824,2.027356143384415e-05,200,0,0
22.826,1.863451106753596e-05,200,0,0
22.828,1.6847561772170018e-05,200,0,0
22.83,1.4955942978231383e-05,200,0,0
22.832,1.3001413273888074e-05,200,0,0
22.834,1.1023018654067736e-05,200,0,0
22.836,9.056181834222553e-06,200,0,0
22.838,7.132119731301722e-06,200,0,0
22.84,5.2775528477722415e-06,200,0,0
22.842,3.5146606427667543e-06,200,0,0
22.844,1.8612212037404167e-06,200,0,0
22.846,3.308418216628663e-07,200,0,0
22.848,-1.0668316983113457e-06,200,0,0
22.85,-2.3260076761155706e-06,200,0,0
22.852,-3.444744016302244e-06,200,0,0
22.854,-4.424969605169813e-06,200,0,0
22.856,-5.272429396871091e-06,200,0,0
22.858,-5.996481329093616e-06,200,0,0
22.86,-6.6097266850104e-06,200,0,0
22.862,-7.127499127388952e-06,200,0,0
22.864,-7.567250985507898e-06,200,0,0
22.866,-7.947854831540598e-06,200,0,0
22.868,-8.288806111680045e-06,200,0,0
22.87,-8.609303124003022e-06,200,0,0
22.872,-8.927207416944566e-06,200,0,0
22.874,-9.257934985021222e-06,200,0,0
22.876,-9.613374075241158e-06,200,0,0
22.878,-1.0000953980724654e-05,200,0,0
22.88,-1.042298966632972e-05,200,0,0
22.882,-1.0876396442369884e-05,200,0,0
22.884,-1.1352821476747603e-05,200,0,0
22.886,-1.1839191839383991e-05,200,0,0
22.888,-1.23186338749703e-05,200,0,0
22.89,-1.2771676919853895e-05,200,0,0
22.892,-1.3177629902654972e-05,200,0,0
22.894,-1.3516021694251227e-05,200,0,0
22.896,-1.3768017757134263e-05,200,0,0
22.898,-1.3917755679531988e-05,200,0,0
22.9,-1.3953571466634708e-05,200,0,0
22.902,-1.3869101353714455e-05,200,0,0
22.904,-1.3664227522858804e-05,200,0,0
22.906,-1.3345802719564793e-05,200,0,0
22.908,-1.2928068147720044e-05,200,0,0
22.91,-1.2432684721260693e-05,200,0,0
22.912,-1.1888319198003312e-05,200,0,0
22.914,-1.1329752418717712e-05,200,0,0
22.916,-1.0796507441000094e-05,200,0,0
22.918,-1.0331035042227492e-05,200,0,0
22.92,-9.976540923207248e-06,200,0,0
22.922,-9.774585174062017e-06,200,0,0
22.924,-9.762622494328786e-06,200,0,0
22.926,-9.9716746925465e-06,200,0,0
22.928,-1.0424324726050576e-05,200,0,0
22.93,-1.113318329087484e-05,200,0,0
22.932,-1.2099907545182172e-05,200,0,0
22.934,-1.331476893652918e-05,200,0,0
22.936,-1.4756704354373088e-05,200,0,0
22.938,-1.6393763707565934e-05,200,0,0
22.94,-1.8183885263632604e-05,200,0,0
22.942,-2.007596606655056e-05,200,0,0
22.944,-2.201122746034737e-05,200,0,0
22.946,-2.392489274382444e-05,200,0,0
22.948,-2.574818438663684e-05,200,0,0
22.95,-2.741060797400905e-05,200,0,0
22.952,-2.884243796216881e-05,200,0,0
22.954,-2.9977288364136227e-05,200,0,0
22.956,-3.0754651838599845e-05,200,0,0
22.958,-3.112230768929344e-05,200,0,0
22.96,-3.103851313886306e-05,200,0,0
22.962,-3.047389643174113e-05,200,0,0
22.964,-2.9412969672537675e-05,200,0,0
22.966,-2.785518202203372e-05,200,0,0
22.968,-2.581544583414401e-05,200,0,0
22.97,-2.332409006814284e-05,200,0,0
22.972,-2.0426222000139887e-05,200,0,0
22.974,-1.7180502778493485e-05,200,0,0
22.976,-1.3657360653204312e-05,200,0,0
22.978,-9.936680608236192e-06,200,0,0
22.98,-6.105028709031404e-06,200,0,0
22.982,-2.252500207973428e-06,200,0,0
22.984,1.530678417093117e-06,200,0,0
22.986,5.157618958934854e-06,200,0,0
22.988,8.548101284306515e-06,200,0,0
22.99,1.1631537353431656e-05,200,0,0
22.992,1.434936163289328e-05,200,0,0
22.994,1.6656688556226624e-05,200,0,0
22.996,1.852314072343821e-05,200,0,0
22.998,1.993281536062949e-05,200,0,0
23.0,2.088341661514215e-05,200,0,0
23.002,2.138463820420233e-05,200,0,0
23.004,2.145593655570849e-05,200,0,0
23.006,2.112388971998133e-05,200,0,0
23.008,2.041938673373628e-05,200,0,0
23.01,1.937491954544272e-05,200,0,0
23.012,1.8022235733230622e-05,200,0,0
23.014,1.6390550626853453e-05,200,0,0
23.016,1.4505427779379152e-05,200,0,0
